cluster,AUC,site
1,0.7708333333333335,79
0,0.5,79
1,0.54375,122
0,0.5,122
0,0.5,142
1,0.7676767676767677,142
1,0.6000000000000001,148
2,0.5,148
0,0.5,148
2,0.5,154
1,0.2727272727272727,154
0,,154
1,0.607142857142857,157
2,0.5,157
0,,157
2,0.5,165
0,,165
1,0.8125,165
2,0.5,167
0,0.5,167
1,0.6458333333333333,167
2,0.5,176
1,0.6000000000000001,176
0,,176
0,0.5,199
1,0.4,199
0,0.5,227
1,0.761904761904762,227
0,0.5,248
1,0.9393939393939392,248
1,0.7321428571428572,252
0,0.5,252
1,0.6851851851851853,264
0,0.5,264
0,0.5,281
1,0.4384615384615385,281
1,0.525,283
0,0.5,283
0,0.5,338
1,0.7416666666666667,338
0,0.5,420
1,0.8392857142857143,420
0,0.5,449
1,0.8,449
0,0.5,458
1,0.7391304347826086,458
