cluster,AUC,site
1,0.7837837837837838,79
0,0.691358024691358,79
2,,79
1,0.6452380952380953,122
0,,122
1,0.7645429362880886,142
0,,142
2,,142
2,0.788,148
0,0.5,148
1,1.0,148
2,0.8583333333333333,154
1,0.6111111111111112,154
0,,154
2,0.7584973166368516,157
0,,157
1,0.6296296296296297,157
2,0.7317073170731707,165
0,,165
1,0.888888888888889,165
2,0.6479591836734694,167
0,0.8125,167
1,0.3888888888888888,167
1,0.925925925925926,176
2,0.8055555555555555,176
0,0.4285714285714286,176
0,0.7746212121212122,199
1,0.8585858585858586,199
0,0.5402298850574713,227
1,0.7964285714285714,227
2,,227
2,0.6111111111111112,248
0,0.7537878787878788,248
1,0.7516339869281046,248
1,0.7849999999999999,252
0,0.671875,252
2,,252
1,0.736111111111111,264
0,0.5882352941176471,264
2,1.0,264
0,0.717741935483871,281
1,0.8,281
2,0.6666666666666667,281
2,,283
0,0.7647058823529411,283
1,0.656084656084656,283
1,0.7419354838709677,338
0,0.800865800865801,338
2,,338
1,0.8065476190476191,420
0,,420
2,1.0,420
0,0.74822695035461,449
1,0.5428571428571429,449
2,1.0,449
0,0.7105263157894737,458
1,0.7466666666666667,458
