cluster,AUC,site
1,0.7545787545787546,79
0,0.6111111111111112,79
2,,79
0,0.6325757575757576,122
1,0.8783783783783783,122
0,0.76,142
1,0.6486486486486487,142
2,0.823931623931624,148
1,0.5384615384615384,148
0,,148
2,0.7037037037037037,154
0,0.0,154
1,,154
2,0.7567567567567568,157
1,,157
0,0.6190476190476191,157
2,0.7297297297297297,165
1,0.7142857142857143,165
0,1.0,165
1,0.8181818181818181,167
2,0.6888888888888889,167
0,0.1666666666666666,167
0,0.75,176
2,0.6363636363636364,176
1,0.625,176
1,0.7873376623376623,199
0,0.85,199
1,0.6550522648083623,227
0,0.8181818181818181,227
2,,227
2,,248
1,0.8117647058823529,248
0,0.625,248
1,0.4807692307692308,252
0,0.5857142857142857,252
2,0.0,252
1,0.6752136752136753,264
0,0.6825396825396826,264
2,0.0,264
1,0.7905844155844156,281
0,0.6363636363636364,281
2,,281
2,,283
1,0.7872340425531915,283
0,0.6666666666666667,283
1,0.7789661319073083,338
0,0.75,338
0,0.7149122807017544,420
1,0.9130434782608696,420
2,,420
1,0.8339285714285714,449
0,0.6,449
2,,449
1,0.7606837606837608,458
0,0.7160493827160495,458
