cluster,AUPRC,site
1,0.5229646896313562,79
0,0.1703296703296703,79
2,,79
1,0.4853554628972933,122
0,,122
1,0.61548040326809,142
0,,142
2,,142
2,0.5131763283093751,148
0,0.3333333333333333,148
1,1.0,148
2,0.5291666666666667,154
1,0.7996031746031745,154
0,,154
2,0.5014239724646965,157
0,,157
1,0.6197089947089947,157
2,0.5644314351215499,165
0,,165
1,0.7,165
2,0.2183565110826939,167
0,0.6428571428571428,167
1,0.4027777777777778,167
1,0.5,176
2,0.4678694127223539,176
0,0.1666666666666666,176
0,0.7011484622408736,199
1,0.7648487315153982,199
0,0.1283068783068783,227
1,0.654406389748882,227
2,,227
2,0.6333333333333333,248
0,0.5941697191697192,248
1,0.7031583955496998,248
1,0.6035539215686274,252
0,0.4860119047619047,252
2,,252
1,0.4235153063526042,264
0,0.6021132533280871,264
2,1.0,264
0,0.4131463443963444,281
1,0.4968253968253968,281
2,0.5,281
2,,283
0,0.4866522366522366,283
1,0.4914614121510673,283
1,0.2640151515151515,338
0,0.4710448281876853,338
2,,338
1,0.5320028462109323,420
0,,420
2,1.0,420
0,0.3970462847301083,449
1,0.3298843262001157,449
2,1.0,449
0,0.2646825396825397,458
1,0.4848133795714441,458
